type,title,date_added,release_year,rating,listed_in,streaming_platform,duration_seasons
TV Show,Nailed It! France,"October 25, 2019",2019,TV-14,"International TV Shows, Reality TV",Netflix,1
TV Show,Nailed It! Spain,"October 25, 2019",2019,TV-PG,"International TV Shows, Reality TV, Spanish-Language TV Shows",Netflix,1
TV Show,The Untamed,"October 25, 2019",2019,TV-14,"International TV Shows, TV Action & Adventure, TV Mysteries",Netflix,1
TV Show,Daybreak,"October 24, 2019",2019,TV-MA,"TV Action & Adventure, TV Comedies, TV Horror",Netflix,1
TV Show,"Breakfast, Lunch & Dinner","October 23, 2019",2019,TV-MA,Docuseries,Netflix,1
TV Show,"ChuChu TV Kids Songs, Learning Videos & Bedtime Stories","October 18, 2019",2019,TV-Y,Kids' TV,Netflix,1
TV Show,Interior Design Masters,"October 18, 2019",2019,TV-PG,"British TV Shows, International TV Shows, Reality TV",Netflix,1
TV Show,Mighty Little Bheem: Diwali,"October 18, 2019",2019,TV-Y,"Kids' TV, TV Comedies",Netflix,1
TV Show,MONKART,"October 18, 2019",2017,TV-Y7,"Kids' TV, Korean TV Shows",Netflix,1
TV Show,THE UNLISTED,"October 17, 2019",2019,TV-PG,"Kids' TV, TV Thrillers",Netflix,1
TV Show,Another Miss Oh,"October 16, 2019",2016,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,Second 20s,"October 16, 2019",2015,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,Black Money Love,"October 15, 2019",2014,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,1
TV Show,The Lies Within,"October 13, 2019",2019,TV-14,"Crime TV Shows, International TV Shows, Korean TV Shows",Netflix,1
TV Show,Beyblade Burst Turbo,"October 10, 2019",2018,TV-Y7,"Anime Series, Kids' TV",Netflix,1
TV Show,Ultramarine Magmell,"October 10, 2019",2019,TV-14,"Anime Series, International TV Shows",Netflix,1
TV Show,Rhythm + Flow,"October 9, 2019",2019,TV-MA,Reality TV,Netflix,1
TV Show,Legend Quest: Masters of Myth,"October 5, 2019",2019,TV-Y7,"Kids' TV, Spanish-Language TV Shows",Netflix,1
TV Show,My Country: The New Age,"October 5, 2019",2019,TV-14,"International TV Shows, Korean TV Shows, TV Action & Adventure",Netflix,1
