type,title,date_added,release_year,rating,listed_in,streaming_platform,duration_seasons
TV Show,Behind the Attraction,"July 21, 2021",2021,TV-PG,"Docuseries, Family",DisneyPlus,1
TV Show,Disney The Owl House,"July 21, 2021",2020,TV-Y7,"Action-Adventure, Animation, Anime",DisneyPlus,2
TV Show,Meet Spidey and His Amazing Friends (Shorts),"July 21, 2021",2021,TV-Y,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Mission Force One,"July 21, 2021",2017,TV-Y,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Turner & Hooch,"July 21, 2021",2021,TV-PG,"Action-Adventure, Buddy, Comedy",DisneyPlus,1
TV Show,Shark Attack Files,"July 16, 2021",2021,TV-14,"Animals & Nature, Docuseries, Reality",DisneyPlus,1
TV Show,So Random!,"July 14, 2021",2011,TV-G,"Comedy, Coming of Age",DisneyPlus,1
TV Show,When Sharks Attack,"July 9, 2021",2013,TV-14,Reality,DisneyPlus,7
TV Show,Breaking Bobby Bones,"July 7, 2021",2021,TV-14,"Action-Adventure, Docuseries, Reality",DisneyPlus,1
TV Show,Mickey Mouse Mixed-Up Adventures,"July 7, 2021",2019,TV-Y,"Animation, Kids, Sports",DisneyPlus,1
TV Show,Monsters at Work,"July 7, 2021",2021,TV-G,"Animation, Comedy, Family",DisneyPlus,1
TV Show,Disney Raven's Home,"July 2, 2021",2016,TV-G,"Comedy, Family, Fantasy",DisneyPlus,4
TV Show,Running Wild with Bear Grylls,"June 25, 2021",2019,TV-PG,"Action-Adventure, Reality, Survival",DisneyPlus,2
TV Show,The Mysterious Benedict Society,"June 25, 2021",2021,TV-PG,"Action-Adventure, Family",DisneyPlus,1
TV Show,Dino Ranch,"June 18, 2021",2021,TV-Y,"Animation, Kids, Western",DisneyPlus,1
TV Show,Disney Just Roll With It,"June 18, 2021",2018,TV-Y7,"Comedy, Family",DisneyPlus,2
TV Show,"Heartland Docs, DVM","June 18, 2021",2019,TV-14,"Animals & Nature, Docuseries, Family",DisneyPlus,3
TV Show,Star Wars Vintage: Droids,"June 18, 2021",1985,TV-Y7-FV,"Action-Adventure, Animation, Fantasy",DisneyPlus,2
TV Show,Puppy Dog Pals,"June 11, 2021",2016,TV-G,"Animation, Kids",DisneyPlus,4
TV Show,Zenimation,"June 11, 2021",2020,TV-G,"Animation, Anthology, Family",DisneyPlus,2
TV Show,Loki,"June 9, 2021",2021,TV-14,"Action-Adventure, Fantasy, Science Fiction",DisneyPlus,1
TV Show,Gordon Ramsay: Uncharted,"June 4, 2021",2018,TV-14,"Action-Adventure, Docuseries, Lifestyle",DisneyPlus,3
TV Show,MUPPET BABIES,"June 4, 2021",2017,TV-Y,"Animation, Kids",DisneyPlus,3
TV Show,Bluey,"May 28, 2021",2019,TV-Y,"Animation, Kids",DisneyPlus,2
TV Show,Disney Sydney To The Max,"May 28, 2021",2018,TV-G,"Comedy, Coming of Age, Family",DisneyPlus,3
TV Show,Kingdom of the Polar Bears,"May 28, 2021",2021,TV-PG,"Animals & Nature, Docuseries",DisneyPlus,1
TV Show,Wicked Tuna,"May 28, 2021",2016,TV-14,"Action-Adventure, Animals & Nature, Docuseries",DisneyPlus,10
TV Show,Big City Greens,"May 21, 2021",2017,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,2
TV Show,Fury Files,"May 21, 2021",2013,TV-Y7,"Animation, Superhero",DisneyPlus,1
TV Show,Ice Road Rescue,"May 21, 2021",2015,TV-14,"Docuseries, Reality, Survival",DisneyPlus,5
TV Show,Schoolhouse Rock!,"May 17, 2021",1973,TV-G,"Animals & Nature, Animation, Kids",DisneyPlus,6
TV Show,Disney Special Agent Oso: Three Healthy Steps (Shorts),"May 14, 2021",2011,TV-Y,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Race to the Center of the Earth,"May 14, 2021",2021,TV-14,"Action-Adventure, Family, Game Show / Competition",DisneyPlus,1
TV Show,Special Agent Oso,"May 14, 2021",2009,TV-Y,"Action-Adventure, Animation, Kids",DisneyPlus,2
TV Show,The Incredible Hulk,"May 10, 2021",1996,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,2
TV Show,Wander Over Yonder,"May 7, 2021",2013,TV-Y7,Comedy,DisneyPlus,2
