type,title,date_added,release_year,rating,duration_seasons,listed_in,streaming_platform
TV Show,Unikitty en Español,"February 28, 2019",2017,TV-Y7,1,"Kids, Latino",Hulu
TV Show,Stan Against Evil,"February 20, 2019",2016,TV-14,3,"Comedy, Horror, Sitcom",Hulu
TV Show,Code Geass,"February 15, 2019",2007,TV-14,2,"Action, Adventure, Anime",Hulu
TV Show,Jamie's Quick & Easy Food,"February 15, 2019",2017,TV-G,2,"Cooking & Food, Lifestyle & Culture",Hulu
TV Show,Outlaw Star,"February 15, 2019",1998,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Dharma & Greg,"February 13, 2019",1997,TV-14,5,"Comedy, Sitcom",Hulu
TV Show,Murder on the Internet,"February 10, 2019",2017,TV-PG,1,"Crime, Documentaries",Hulu
TV Show,Fairy Tail,"February 8, 2019",2009,TV-14,9,"Anime, International",Hulu
TV Show,Steins;Gate 0,"February 8, 2019",2018,TV-14,1,"Anime, Science Fiction",Hulu
TV Show,The Bob Newhart Show,"February 4, 2019",1972,TV-G,6,"Classics, Comedy, Family",Hulu
TV Show,WTF Baron Davis,"January 23, 2019",2019,TV-MA,1,"Black Stories, Comedy, Sitcom",Hulu
TV Show,Nostradamus Effect,"January 22, 2019",2009,TV-14,1,"Documentaries, Drama, History",Hulu
TV Show,The Pillars Of The Earth,"January 21, 2019",2010,TV-MA,1,"Drama, History, Romance",Hulu
TV Show,World Without End (2012),"January 21, 2019",2012,TV-MA,1,"Drama, History, Romance",Hulu
TV Show,Butterfly (2018),"January 18, 2019",2018,TV-MA,1,"Drama, International, LGBTQ+",Hulu
TV Show,Knight Rider Classic,"January 18, 2019",1982,TV-14,4,"Action, Adventure, Crime",Hulu
TV Show,The Menendez Murders: Erik Tells All,"January 18, 2019",2017,TV-14,1,"Crime, Documentaries",Hulu
TV Show,Truth and Lies: Monica and Bill,"January 18, 2019",2019,TV-PG,1,"Crime, Documentaries",Hulu
TV Show,Miranda (TV),"January 14, 2019",2009,TV-PG,3,"Comedy, International",Hulu
TV Show,Dead by Dawn,"January 13, 2019",2019,TV-14,1,"Documentaries, Horror, Science & Technology",Hulu
TV Show,Kaguya-sama: Love Is War,"January 12, 2019",2019,TV-14,1,"Anime, Comedy, Romance",Hulu
TV Show,Ally McBeal,"January 1, 2019",1997,TV-PG,5,"Classics, Comedy, Drama",Hulu
TV Show,The X-Files,"January 1, 2019",1993,TV-14,11,"Drama, Horror, Science Fiction",Hulu
TV Show,The Orville,"December 31, 2018",2017,TV-14,2,"Comedy, Science Fiction",Hulu
TV Show,Mighty Magiswords,"December 24, 2018",2015,TV-Y7,2,"Adventure, Cartoons, Comedy",Hulu
TV Show,Polly Pocket,"December 23, 2018",2018,TV-G,1,"Action, Adventure, Family",Hulu
TV Show,Desperate Housewives en Español,"December 22, 2018",2004,TV-14,8,"Documentaries, Latino",Hulu
TV Show,He-Man and the Masters of the Universe,"December 21, 2018",1983,TV-Y7,2,"Action, Adventure, Family",Hulu
TV Show,The Killing,"December 19, 2018",2011,TV-14,4,"Crime, Drama, Mystery",Hulu
TV Show,Boston Legal,"December 17, 2018",2004,TV-14,5,Drama,Hulu
TV Show,Burn Notice,"December 17, 2018",2007,TV-14,7,"Action, Adventure, Crime",Hulu
TV Show,White Collar,"December 17, 2018",2009,TV-PG,6,"Crime, Drama",Hulu
TV Show,Deutschland 86,"December 14, 2018",2018,TV-MA,1,"Drama, International, Thriller",Hulu
TV Show,Graves,"December 10, 2018",2016,TV-MA,2,"Comedy, Drama",Hulu
TV Show,Adventure Time,"December 3, 2018",2010,TV-PG,10,"Adventure, Cartoons, Family",Hulu
TV Show,The Powerpuff Girls (2016),"December 2, 2018",2016,TV-PG,4,"Action, Kids",Hulu
TV Show,24,"December 1, 2018",2001,TV-14,9,"Action, Adventure, Crime",Hulu
TV Show,Melissa & Joey,"December 1, 2018",2010,TV-14,4,"Comedy, Family, Sitcom",Hulu
TV Show,Hollywood Game Night,"November 22, 2018",2013,TV-14,1,"Game Shows, Reality",Hulu
TV Show,Shark,"November 21, 2018",2006,TV-14,2,"Drama, Mystery",Hulu
TV Show,Nina's World,"November 18, 2018",2015,TV-Y,2,"Action, Adventure, Kids",Hulu
TV Show,The Bisexual,"November 16, 2018",2018,TV-MA,1,"Comedy, Drama, International",Hulu
TV Show,Anthony Bourdain: No Reservations,"November 12, 2018",2005,TV-PG,2,"Cooking & Food, Lifestyle & Culture",Hulu
TV Show,Living With Fran,"November 12, 2018",2005,TV-14,2,"Comedy, Sitcom",Hulu
TV Show,Married... With Children,"November 9, 2018",1987,TV-14,11,"Comedy, Sitcom",Hulu
TV Show,Dietland,"November 2, 2018",2018,TV-MA,1,"Comedy, Drama",Hulu
TV Show,King of the Hill,"November 1, 2018",1997,TV-14,13,"Adult Animation, Comedy, Sitcom",Hulu
TV Show,SIX,"November 1, 2018",2017,TV-MA,2,"Action, Adventure, Drama",Hulu
TV Show,El Fantasma de Elena,"October 16, 2018",2010,TV-14,1,Latino,Hulu
TV Show,The Bernie Mac Show,"October 15, 2018",2001,TV-PG,5,"Black Stories, Comedy, Sitcom",Hulu
TV Show,Alguien te Mira,"October 9, 2018",2010,TV-14,1,"Drama, Latino",Hulu
TV Show,Speechless,"October 8, 2018",2016,TV-PG,3,"Comedy, Family, Sitcom",Hulu
TV Show,The Practice,"October 8, 2018",1997,TV-14,8,"Crime, Drama, Mystery",Hulu
TV Show,Dot,"October 6, 2018",2016,TV-Y,2,"Adventure, Kids",Hulu
TV Show,La Diosa Coronada,"October 5, 2018",2010,TV-14,1,"Crime, Drama, Latino",Hulu
TV Show,Rascal Does Not Dream of Bunny Girl Senpai,"October 3, 2018",2018,TV-14,1,"Anime, Comedy, Romance",Hulu
TV Show,Brothers & Sisters,"October 2, 2018",2006,TV-PG,5,Drama,Hulu
TV Show,10 Things I Hate About You,"October 1, 2018",2009,TV-14,1,"Comedy, Drama, Romance",Hulu
TV Show,Baby Daddy,"October 1, 2018",2012,TV-14,6,"Comedy, Sitcom, Teen",Hulu
TV Show,Cougar Town,"October 1, 2018",2009,TV-14,6,"Comedy, Sitcom",Hulu
TV Show,Dama y Obrero,"October 1, 2018",2013,TV-14,1,"Drama, Latino",Hulu
TV Show,El Clon,"October 1, 2018",2010,TV-14,1,"Drama, Romance",Hulu
TV Show,Greek,"October 1, 2018",2007,TV-14,4,"Drama, Teen",Hulu
TV Show,Legit,"October 1, 2018",2013,TV-MA,2,"Comedy, Sitcom",Hulu
TV Show,Lincoln Heights,"October 1, 2018",2007,TV-14,4,"Black Stories, Drama",Hulu
TV Show,Make It or Break It,"October 1, 2018",2009,TV-PG,3,"Drama, Teen",Hulu
TV Show,Out There,"October 1, 2018",2013,TV-14,1,"Adult Animation, Comedy",Hulu
TV Show,St. Elsewhere,"October 1, 2018",1982,TV-14,6,"Black Stories, Drama",Hulu
TV Show,The League,"October 1, 2018",2009,TV-MA,7,"Comedy, Sitcom",Hulu
TV Show,The Mary Tyler Moore Show,"October 1, 2018",1970,TV-PG,7,"Classics, Comedy, Family",Hulu
TV Show,The Riches,"October 1, 2018",2007,TV-MA,2,"Comedy, Crime, Drama",Hulu
TV Show,The Secret Life of the American Teenager,"October 1, 2018",2008,TV-14,5,"Drama, Teen",Hulu
TV Show,Ugly Betty,"October 1, 2018",2006,TV-PG,4,"Comedy, Drama, Teen",Hulu
TV Show,"Truth and Lies: Jonestown, Paradise Lost","September 29, 2018",2018,TV-PG,1,Documentaries,Hulu
TV Show,Star,"September 27, 2018",2016,TV-14,3,"Black Stories, Drama, Music",Hulu
TV Show,The Gifted,"September 26, 2018",2017,TV-PG,2,"Action, Adventure, Drama",Hulu
TV Show,Aurora (TV),"September 21, 2018",2010,TV-14,1,"Drama, Latino",Hulu
TV Show,La Impostora,"September 21, 2018",2014,TV-14,1,"Drama, Latino",Hulu
TV Show,Pasión de gavilanes,"September 18, 2018",2003,TV-Y,1,"Drama, Latino, Romance",Hulu
TV Show,Good Behavior,"September 15, 2018",2017,TV-MA,2,"Drama, Thriller",Hulu
TV Show,The First,"September 14, 2018",2018,TV-MA,1,"Drama, Science Fiction",Hulu
TV Show,Chopped Junior,"September 13, 2018",2015,TV-G,2,"Cooking & Food, Family, Lifestyle & Culture",Hulu
TV Show,Expedition Unknown,"September 11, 2018",2017,TV-PG,2,"Adventure, Family, Lifestyle & Culture",Hulu
TV Show,Warriors of Liberty City,"September 9, 2018",2018,TV-MA,1,"Black Stories, Documentaries, Sports",Hulu
TV Show,Cake Wars,"September 6, 2018",2015,TV-G,4,"Cooking & Food, Family, Lifestyle & Culture",Hulu
TV Show,Cupcake Wars,"September 6, 2018",2010,TV-G,2,"Cooking & Food, Family, Lifestyle & Culture",Hulu
TV Show,Just Between Lovers,"August 30, 2018",2017,TV-14,1,"Drama, International, Romance",Hulu
TV Show,Eva la Trailera,"August 28, 2018",2016,TV-14,1,"Drama, Latino",Hulu
TV Show,America To Me,"August 26, 2018",2018,TV-MA,1,"Black Stories, Documentaries",Hulu
TV Show,Pasión Prohibida,"August 21, 2018",2013,TV-14,1,"Drama, Latino",Hulu
TV Show,Perro Amor,"August 17, 2018",2015,TV-14,1,"Drama, Latino",Hulu
TV Show,Rosa Diamante,"August 10, 2018",2012,TV-14,1,"Drama, Latino",Hulu
TV Show,Tim & Eric's Bedtime Stories,"August 10, 2018",2014,TV-MA,2,"Comedy, News",Hulu
TV Show,Life of Kylie,"August 6, 2018",2017,TV-14,1,Reality,Hulu
TV Show,El Cuerpo del Deseo,"August 3, 2018",2006,TV-14,1,"Drama, Latino",Hulu
TV Show,En otra piel,"August 3, 2018",2014,TV-14,1,"Drama, Latino",Hulu
TV Show,Casual,"July 31, 2018",2015,TV-MA,4,"Comedy, Sitcom",Hulu
TV Show,Alone Together,"July 25, 2018",2018,TV-14,2,"Comedy, Sitcom",Hulu
TV Show,The Thundermans,"July 24, 2018",2013,TV-G,4,"Comedy, Kids, Sitcom",Hulu
TV Show,Devils' Line,"July 23, 2018",2018,TV-MA,1,"Action, Adventure, Anime",Hulu
TV Show,Marido en Alquiler,"July 18, 2018",2013,TV-14,1,"Drama, Latino",Hulu
TV Show,UnREAL,"July 16, 2018",2015,TV-14,4,"Drama, Romance",Hulu
TV Show,Home Town,"July 13, 2018",2017,TV-G,1,"Lifestyle & Culture, Reality",Hulu
TV Show,Pocket.watch JillianTubeHD Ultimate mishmash,"July 13, 2018",2018,TV-G,1,Kids,Hulu
TV Show,Pocket.watch Ryan ToysReview Ultimate mishmash,"July 13, 2018",2018,TV-G,1,"Family, Kids",Hulu
TV Show,Property Brothers: Buying & Selling,"July 13, 2018",2012,TV-G,1,"Family, Lifestyle & Culture, Reality",Hulu
TV Show,Restaurant: Impossible,"July 13, 2018",2011,TV-G,2,"Cooking & Food, Family, Lifestyle & Culture",Hulu
TV Show,La Casa de al Lado,"July 11, 2018",2011,TV-14,1,"Drama, Latino",Hulu
TV Show,Santa Diabla,"July 9, 2018",2014,TV-14,1,"Drama, Latino",Hulu
TV Show,Lost en Español,"July 4, 2018",2004,TV-14,6,"Drama, Latino",Hulu
TV Show,Corazón valiente,"July 2, 2018",2012,TV-14,1,"Action, Adventure, Drama",Hulu
TV Show,Ancient Top 10,"July 1, 2018",2016,TV-14,1,"Documentaries, History, News",Hulu
TV Show,The Librarians,"July 1, 2018",2014,TV-PG,4,"Action, Adventure, Drama",Hulu
TV Show,The Murder of Laci Peterson,"July 1, 2018",2017,TV-14,1,"Crime, Documentaries, Drama",Hulu
TV Show,The Legend of the Blue Sea,"June 30, 2018",2016,TV-14,1,"Drama, International, Romance",Hulu
TV Show,While You Were Sleeping (TV),"June 30, 2018",2017,TV-14,1,"Action, Adventure, Health & Wellness",Hulu
TV Show,M*A*S*H,"June 29, 2018",1972,TV-PG,11,"Action, Adventure, Comedy",Hulu
TV Show,Nine for IX,"June 22, 2018",2013,TV-G,1,"Documentaries, Sports",Hulu
TV Show,Dirk Gently's Holistic Detective Agency,"June 14, 2018",2016,TV-14,2,"Drama, Horror, Mystery",Hulu
TV Show,Napoleon Dynamite (2012),"June 11, 2018",2012,TV-PG,1,"Adult Animation, Comedy",Hulu
TV Show,"Ruff Ruff, Tweet and Dave","June 9, 2018",2015,TV-Y,2,"Cartoons, Kids",Hulu
TV Show,Weediquette,"June 8, 2018",2016,TV-14,3,"Documentaries, Reality",Hulu
TV Show,I Love Jenni,"June 7, 2018",2011,TV-14,3,"Latino, Reality",Hulu
TV Show,When Shall We Kiss,"June 1, 2018",2011,TV-MA,2,"Comedy, Drama, International",Hulu
TV Show,Doozers,"May 25, 2018",2014,TV-Y,2,Kids,Hulu
TV Show,The Strain,"May 16, 2018",2014,TV-MA,4,"Horror, Thriller",Hulu
TV Show,All Night,"May 11, 2018",2018,TV-14,1,"Comedy, Drama, Teen",Hulu
TV Show,My Name Is Earl,"May 11, 2018",2005,TV-14,4,"Comedy, Sitcom",Hulu
TV Show,Witches of East End,"May 11, 2018",2013,TV-14,2,"Drama, Horror, Science Fiction",Hulu
TV Show,Bajo el Mismo Cielo,"May 10, 2018",2015,TV-14,1,"Drama, Latino",Hulu
TV Show,Chiquis 'n Control,"May 10, 2018",2012,TV-PG,1,"Latino, Music, Reality",Hulu
TV Show,Dueños del Paraíso,"May 10, 2018",2015,TV-14,1,"Crime, Drama, Latino",Hulu
TV Show,El Señor de los Cielos,"May 10, 2018",2013,TV-14,3,"Action, Adventure, Crime",Hulu
TV Show,La Patrona,"May 10, 2018",2013,TV-14,1,"Drama, Latino, Romance",Hulu
TV Show,Señora Acero,"May 10, 2018",2014,TV-14,2,"Drama, Latino",Hulu
TV Show,Tierra de Reyes,"May 10, 2018",2014,TV-14,1,"Drama, Latino",Hulu
TV Show,The First 48,"May 2, 2018",2004,TV-PG,6,"Crime, Reality",Hulu
TV Show,Teen Titans Go! en Español,"April 27, 2018",2013,TV-PG,4,"Action, Adventure, Kids",Hulu
TV Show,Friday Night Lights,"April 20, 2018",2006,TV-14,5,Drama,Hulu
TV Show,Tokyo Ghoul,"April 10, 2018",2014,TV-MA,3,"Anime, Horror, International",Hulu
TV Show,PERSONA5 the Animation,"April 7, 2018",2018,TV-14,1,Anime,Hulu
TV Show,"Sword Art Online Alternative ""Gun Gale Online""","April 7, 2018",2018,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Magic City,"April 6, 2018",2012,TV-MA,2,"Crime, Drama",Hulu
TV Show,National Treasure: Kiri,"April 4, 2018",2018,TV-MA,1,"Crime, Drama",Hulu
TV Show,Flip or Flop,"April 1, 2018",2013,TV-G,1,"Family, Lifestyle & Culture, Reality",Hulu
TV Show,House Hunters Renovation,"April 1, 2018",2012,TV-G,2,"Family, Lifestyle & Culture, Reality",Hulu
TV Show,Iron Chef America,"April 1, 2018",2005,TV-G,1,"Cooking & Food, Family, Lifestyle & Culture",Hulu
TV Show,The Killer Speaks,"April 1, 2018",2013,TV-14,2,"Crime, Drama",Hulu
TV Show,NYPD Blue,"March 30, 2018",1993,TV-14,12,"Crime, Drama",Hulu
TV Show,Toddlers & Tiaras,"March 23, 2018",2008,TV-G,1,"Documentaries, Family, Reality",Hulu
TV Show,Shadowhunters,"March 21, 2018",2016,TV-14,3,"Drama, Romance, Teen",Hulu
TV Show,Deadliest Catch,"March 15, 2018",2014,TV-PG,1,"Adventure, Documentaries, Reality",Hulu
TV Show,Sister Wives,"March 15, 2018",2010,TV-PG,1,Reality,Hulu
TV Show,Mobile Suit Gundam UC (Unicorn),"March 13, 2018",2017,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Becoming,"March 12, 2018",2014,TV-G,1,"Documentaries, Kids",Hulu
TV Show,Timeless,"March 12, 2018",2016,TV-PG,2,"Action, Adventure, Drama",Hulu
TV Show,Fantasmagorias,"March 7, 2018",2017,TV-14,3,"Adult Animation, International, Latino",Hulu
TV Show,Hard Sun,"March 7, 2018",2018,TV-MA,1,"Crime, Drama, International",Hulu
TV Show,Survivor,"March 4, 2018",2000,TV-PG,34,"Action, Adventure, Family",Hulu
TV Show,Legends,"March 2, 2018",2014,TV-MA,2,"Action, Adventure, Drama",Hulu
TV Show,Scrubs,"February 17, 2018",2001,TV-14,9,"Comedy, Drama, Sitcom",Hulu
TV Show,The Girlfriend Experience,"February 13, 2018",2016,TV-MA,2,"Drama, Thriller",Hulu
TV Show,Better Off Ted,"February 7, 2018",2009,TV-PG,2,"Comedy, Sitcom",Hulu
TV Show,Nightcap,"February 2, 2018",2016,TV-PG,2,"Comedy, Sitcom",Hulu
TV Show,One Tree Hill,"February 1, 2018",2003,TV-14,9,"Drama, Teen",Hulu
TV Show,Wasteland,"February 1, 2018",2017,TV-MA,1,"Crime, Drama, International",Hulu
TV Show,ABC News Specials,"January 31, 2018",2006,TV-14,1,"Documentaries, News",Hulu
TV Show,Uncle Grandpa,"January 30, 2018",2015,TV-PG,5,"Adventure, Cartoons, Comedy",Hulu
TV Show,Dollhouse,"January 19, 2018",2009,TV-14,2,"Action, Adventure, Drama",Hulu
TV Show,The Glades,"January 19, 2018",2010,TV-14,4,"Crime, Drama",Hulu
TV Show,ER,"January 14, 2018",1994,TV-14,15,Drama,Hulu
TV Show,Breakout Kings,"January 12, 2018",2011,TV-14,2,"Crime, Drama",Hulu
TV Show,Lie to Me,"January 12, 2018",2009,TV-14,3,"Crime, Drama",Hulu
TV Show,Saving Grace (2007),"January 12, 2018",2007,TV-MA,3,"Crime, Drama",Hulu
TV Show,Living Single,"January 11, 2018",1993,TV-14,5,"Black Stories, Classics, Comedy",Hulu
TV Show,Teenage Mutant Ninja Turtles,"January 11, 2018",2012,TV-Y7,5,"Cartoons, Kids",Hulu
TV Show,Gordon Ramsay's The F Word,"January 5, 2018",2005,TV-MA,5,"Cooking & Food, International, Lifestyle & Culture",Hulu
TV Show,Nashville,"January 5, 2018",2012,TV-MA,6,"Drama, Music",Hulu
TV Show,Truth and Lies: Waco,"January 5, 2018",2018,TV-PG,1,"Crime, Documentaries",Hulu
TV Show,Lost,"January 4, 2018",2004,TV-14,6,"Action, Adventure, Drama",Hulu
TV Show,Pinky & The Brain,"January 4, 2018",1995,TV-Y7,3,"Action, Adventure, Comedy",Hulu
TV Show,"Pinky, Elmyra & The Brain","January 4, 2018",1998,TV-Y7,1,"Adventure, Kids",Hulu
TV Show,Steven Spielberg Presents: Tiny Toon Adventures,"January 4, 2018",1990,TV-G,3,"Comedy, Kids",Hulu
TV Show,Cold Case Files,"January 1, 2018",2009,TV-14,1,"Crime, Documentaries",Hulu
TV Show,Ghost Adventures,"January 1, 2018",2010,TV-PG,5,"Family, Horror, Reality",Hulu
TV Show,The Dick Van Dyke Show,"December 31, 2017",1961,TV-G,5,"Classics, Comedy, Family",Hulu
TV Show,Twin Peaks,"December 31, 2017",1990,TV-14,2,"Crime, Drama, Mystery",Hulu
TV Show,Gordon Ramsay's Ultimate Home Cooking,"December 30, 2017",2013,TV-PG,1,"Cooking & Food, Lifestyle & Culture",Hulu
TV Show,Clarence,"December 23, 2017",2014,TV-PG,3,"Comedy, Kids",Hulu
TV Show,Kitchen Nightmares,"December 21, 2017",2007,TV-14,6,"Cooking & Food, Lifestyle & Culture, Reality",Hulu
TV Show,Prime Suspect (UK),"December 21, 2017",1991,TV-G,7,"Crime, Drama, International",Hulu
TV Show,Bunheads,"December 14, 2017",2012,TV-14,1,"Drama, Family",Hulu
TV Show,Steven Universe,"December 11, 2017",2014,TV-PG,4,"Adventure, Cartoons, Comedy",Hulu
TV Show,ESL: Defining Moments,"December 8, 2017",2017,TV-14,1,Documentaries,Hulu
TV Show,Malcolm in the Middle,"December 8, 2017",2000,TV-PG,7,"Comedy, Family, Sitcom",Hulu
TV Show,Revenge,"December 7, 2017",2011,TV-14,4,"Drama, Horror, Mystery",Hulu
TV Show,East Los High,"December 1, 2017",2013,TV-14,5,"Drama, Latino, Teen",Hulu
TV Show,Inside No. 9,"December 1, 2017",2014,TV-14,2,"Comedy, Drama, Horror",Hulu
TV Show,The Mick,"December 1, 2017",2017,TV-14,2,"Comedy, Sitcom",Hulu
TV Show,The Unit,"December 1, 2017",2006,TV-14,4,"Action, Adventure, Drama",Hulu
TV Show,Prison Break,"November 23, 2017",2005,TV-14,5,"Action, Adventure, Drama",Hulu
TV Show,Sonic Boom,"November 19, 2017",2014,TV-Y7,2,"Adventure, Cartoons, Comedy",Hulu
TV Show,The Exorcist,"November 11, 2017",2016,TV-14,2,"Drama, Horror, Mystery",Hulu
TV Show,ESL Bootcamp: Immortals,"November 10, 2017",2017,TV-14,1,"Documentaries, Reality",Hulu
TV Show,Akame ga Kill!,"November 8, 2017",2014,TV-MA,1,"Action, Adventure, Anime",Hulu
TV Show,Maid-sama,"November 8, 2017",2010,TV-14,1,"Anime, Comedy, Drama",Hulu
TV Show,ESL: Replay,"November 5, 2017",2017,TV-14,1,Reality,Hulu
TV Show,Man Seeking Woman,"November 4, 2017",2015,TV-MA,3,"Comedy, Romance, Sitcom",Hulu
TV Show,Rosewood,"November 3, 2017",2015,TV-14,2,"Black Stories, Crime, Drama",Hulu
TV Show,Son of Zorn,"November 3, 2017",2016,TV-14,1,"Comedy, Sitcom",Hulu
TV Show,Doozers en Español,"October 27, 2017",2013,TV-Y,1,"Kids, Latino",Hulu
TV Show,Infinite Stratos,"October 26, 2017",2011,TV-14,2,"Action, Adventure, Anime",Hulu
TV Show,The House,"October 20, 2017",2017,TV-14,1,Horror,Hulu
TV Show,Freakish,"October 18, 2017",2016,TV-14,2,"Drama, Horror, Science Fiction",Hulu
TV Show,Haunted Screens,"October 18, 2017",2017,TV-PG,1,Horror,Hulu
TV Show,Futurama,"October 16, 2017",1999,TV-14,10,"Adult Animation, Comedy, Science Fiction",Hulu
TV Show,Terrific Trucks,"October 15, 2017",2016,TV-Y,1,"Action, Adventure, Family",Hulu
TV Show,"I Love You, America With Sarah Silverman","October 12, 2017",2017,TV-MA,1,Comedy,Hulu
TV Show,Chance,"October 11, 2017",2016,TV-MA,2,"Drama, Thriller",Hulu
TV Show,Black Clover,"October 10, 2017",2017,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,"Rica, Famosa, Latina","October 5, 2017",2014,TV-14,5,"Latino, Reality",Hulu
TV Show,The Last Man on Earth,"October 2, 2017",2015,TV-14,4,"Comedy, Sitcom",Hulu
TV Show,30 Rock,"October 1, 2017",2006,TV-14,7,"Comedy, Sitcom",Hulu
TV Show,Fugget About It,"October 1, 2017",2012,TV-MA,3,"Adult Animation, Comedy, International",Hulu
TV Show,Doc Martin,"September 29, 2017",2004,TV-MA,5,"Comedy, Drama, International",Hulu
TV Show,Family Matters,"September 29, 2017",1989,TV-G,9,"Black Stories, Comedy, Family",Hulu
TV Show,Peep Show,"September 29, 2017",2003,TV-MA,9,"Comedy, International, Sitcom",Hulu
TV Show,Leah Remini: Scientology and the Aftermath,"September 28, 2017",2016,TV-14,1,"Documentaries, Reality",Hulu
TV Show,Bones,"September 26, 2017",2005,TV-14,12,"Crime, Drama, Mystery",Hulu
TV Show,The Carmichael Show,"September 23, 2017",2015,TV-PG,3,"Black Stories, Comedy, Family",Hulu
TV Show,Will & Grace (1998),"September 21, 2017",1998,TV-PG,8,"Comedy, LGBTQ+, Sitcom",Hulu
TV Show,NASA X,"September 14, 2017",2012,TV-G,5,Science & Technology,Hulu
TV Show,The Mindy Project,"September 12, 2017",2012,TV-14,6,"Comedy, Sitcom",Hulu
TV Show,Top of the Lake,"September 11, 2017",2013,TV-MA,2,"Crime, Drama, Horror",Hulu
TV Show,Aesthetica of a Rogue Hero,"September 5, 2017",2012,TV-MA,1,"Action, Anime, Comedy",Hulu
TV Show,Afro Samurai,"September 5, 2017",2009,TV-MA,1,"Action, Adventure, Anime",Hulu
TV Show,Aquarion,"September 5, 2017",2005,TV-PG,1,"Anime, Comedy, Drama",Hulu
TV Show,Aquarion EVOL,"September 5, 2017",2012,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Aria: The Scarlet Ammo,"September 5, 2017",2011,TV-14,2,"Action, Adventure, Anime",Hulu
TV Show,Baka and Test: Summon the Beasts,"September 5, 2017",2010,TV-14,2,"Anime, International, Science Fiction",Hulu
TV Show,Basilisk,"September 5, 2017",2005,TV-MA,1,"Action, Adventure, Anime",Hulu
TV Show,Black Lagoon,"September 5, 2017",2006,TV-MA,2,"Action, Adventure, Anime",Hulu
TV Show,Brothers Conflict,"September 5, 2017",2013,TV-14,1,"Anime, Comedy, International",Hulu
TV Show,Code: Breaker,"September 5, 2017",2012,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Corpse Princess,"September 5, 2017",2008,TV-MA,2,"Action, Adventure, Anime",Hulu
TV Show,D-Frag!,"September 5, 2017",2014,TV-14,1,"Anime, Comedy, International",Hulu
TV Show,Dragonar Academy,"September 5, 2017",2014,TV-MA,1,"Action, Adventure, Anime",Hulu
TV Show,Dragonaut: The Resonance,"September 5, 2017",2007,TV-14,1,"Anime, International, Science Fiction",Hulu
TV Show,Eden of the East,"September 5, 2017",2009,TV-MA,1,"Action, Adventure, Anime",Hulu
TV Show,FLCL,"September 5, 2017",2003,TV-14,1,"Anime, International",Hulu
TV Show,Full Metal Panic!,"September 5, 2017",2002,TV-PG,1,"Action, Adventure, Anime",Hulu
TV Show,Full Metal Panic! The Second Raid,"September 5, 2017",2005,TV-MA,1,"Action, Adventure, Anime",Hulu
TV Show,Full Metal Panic? Fumoffu,"September 5, 2017",2003,TV-PG,1,"Action, Adventure, Anime",Hulu
TV Show,Garo The Animation,"September 5, 2017",2014,TV-MA,1,"Action, Adventure, Anime",Hulu
TV Show,Gun X Sword,"September 5, 2017",2005,TV-MA,1,"Action, Adventure, Anime",Hulu
TV Show,Gungrave,"September 5, 2017",2003,TV-MA,1,"Action, Adventure, Anime",Hulu
TV Show,Haganai,"September 5, 2017",2011,TV-MA,2,"Anime, Comedy, Drama",Hulu
TV Show,Hellsing,"September 5, 2017",2001,TV-MA,1,"Action, Adventure, Anime",Hulu
TV Show,Hellsing Ultimate,"September 5, 2017",2006,TV-MA,1,"Action, Adventure, Anime",Hulu
TV Show,Hetalia: Axis Powers,"September 5, 2017",2009,TV-MA,2,"Anime, Comedy, International",Hulu
TV Show,Is This a Zombie?,"September 5, 2017",2011,TV-MA,2,"Anime, Comedy, Horror",Hulu
TV Show,Jormungand,"September 5, 2017",2012,TV-MA,2,"Action, Adventure, Anime",Hulu
TV Show,Kaleido Star,"September 5, 2017",2004,TV-14,2,"Anime, Comedy, Drama",Hulu
TV Show,Kaze no Stigma,"September 5, 2017",2007,TV-14,1,"Anime, International, Science Fiction",Hulu
TV Show,Kingdom (2012),"September 5, 2017",2012,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Last Exile,"September 5, 2017",2003,TV-PG,1,"Action, Adventure, Anime",Hulu
TV Show,Lord Marksman and Vanadis,"September 5, 2017",2014,TV-MA,1,"Action, Adventure, Anime",Hulu
TV Show,Maken-Ki! Battling Venus,"September 5, 2017",2011,TV-MA,2,"Anime, Comedy, International",Hulu
TV Show,Mushi-shi,"September 5, 2017",2005,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Nabari no Ou,"September 5, 2017",2008,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Negima!? Magister Negi Magi,"September 5, 2017",2007,TV-MA,2,"Anime, International",Hulu
TV Show,Nobunagun,"September 5, 2017",2010,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Samurai 7,"September 5, 2017",2006,TV-PG,1,"Action, Adventure, Anime",Hulu
TV Show,Soul Eater Not!,"September 5, 2017",2014,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Space Dandy,"September 5, 2017",2014,TV-MA,1,"Action, Adventure, Anime",Hulu
