type,title,date_added,release_year,rating,duration_seasons,listed_in,streaming_platform
TV Show,Mamon,"February 6, 2020",2015,TV-MA,1,"Crime, Drama, Thriller",Hulu
TV Show,Basketball: A Love Story,"February 5, 2020",2018,TV-G,1,"Documentaries, Sports",Hulu
TV Show,WWE Miz and Mrs,"February 3, 2020",2018,TV-PG,2,Reality,Hulu
TV Show,Howards End,"February 1, 2020",2017,TV-14,1,"Drama, History",Hulu
TV Show,Blast of Tempest,"January 31, 2020",2012,TV-14,1,"Adventure, Anime, International",Hulu
TV Show,Blue Exorcist,"January 31, 2020",2011,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Charlotte,"January 31, 2020",2015,TV-14,1,"Anime, Drama, Science Fiction",Hulu
TV Show,Durarara!!,"January 31, 2020",2010,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Durarara!!x2,"January 31, 2020",2015,TV-14,1,"Anime, Drama, International",Hulu
TV Show,Erased,"January 31, 2020",2016,TV-14,1,Anime,Hulu
TV Show,Fate/stay night [Unlimited Blade Works],"January 31, 2020",2014,TV-14,2,"Action, Adventure, Anime",Hulu
TV Show,Fate/Zero,"January 31, 2020",2011,TV-14,2,"Action, Adventure, Anime",Hulu
TV Show,Fullmetal Alchemist: Brotherhood,"January 31, 2020",2009,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Gurren Lagann,"January 31, 2020",2008,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Kill la Kill,"January 31, 2020",2013,TV-MA,1,Anime,Hulu
TV Show,Magi,"January 31, 2020",2013,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Magi 2,"January 31, 2020",2012,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Oreshura,"January 31, 2020",2013,TV-14,1,"Anime, Drama, International",Hulu
TV Show,Puella Magi Madoka Magica,"January 31, 2020",2011,TV-14,1,"Anime, International, Science Fiction",Hulu
TV Show,Rurouni Kenshin,"January 31, 2020",1996,TV-14,3,"Anime, Science Fiction",Hulu
TV Show,Sword Art Online,"January 31, 2020",2012,TV-PG,1,"Action, Adventure, Anime",Hulu
TV Show,Sword Art Online II,"January 31, 2020",2014,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,The Asterisk War,"January 31, 2020",2015,TV-14,2,"Action, Adventure, Anime",Hulu
TV Show,Your Lie in April,"January 31, 2020",2014,TV-14,1,"Anime, Drama, International",Hulu
TV Show,I Am Jazz,"January 29, 2020",2015,TV-PG,1,"Documentaries, LGBTQ+, Reality",Hulu
TV Show,Cooks vs. Cons,"January 22, 2020",2016,TV-G,3,"Cooking & Food, Family, Lifestyle & Culture",Hulu
TV Show,Damages en Español,"January 22, 2020",2009,TV-MA,5,"Drama, Latino",Hulu
TV Show,Flea Market Flip,"January 22, 2020",2012,TV-G,4,"Family, Lifestyle & Culture",Hulu
TV Show,Good Eats: Reloaded,"January 22, 2020",2018,TV-G,1,"Cooking & Food, Lifestyle & Culture",Hulu
TV Show,The Detour,"January 20, 2020",2016,TV-MA,4,"Comedy, Sitcom",Hulu
TV Show,Justified,"January 19, 2020",2010,TV-MA,6,"Action, Adventure, Crime",Hulu
TV Show,Justified en Español,"January 19, 2020",2010,TV-MA,6,"Crime, Drama, Latino",Hulu
TV Show,Gold Rush: Dave Turin's Lost Mine,"January 18, 2020",2019,TV-PG,1,"Action, Adventure, Reality",Hulu
TV Show,Lodge 49,"January 13, 2020",2018,TV-14,2,"Comedy, Drama",Hulu
TV Show,The Terror,"January 13, 2020",2018,TV-MA,2,"Drama, History, Thriller",Hulu
TV Show,Gordon Ramsay's 24 Hours to Hell and Back,"January 8, 2020",2018,TV-14,3,"Cooking & Food, Documentaries, Reality",Hulu
TV Show,FOX News Sunday,"January 5, 2020",1996,TV-14,2,News,Hulu
TV Show,¿Dónde Está Elisa?,"January 1, 2020",2010,TV-14,1,"Crime, Drama, Latino",Hulu
TV Show,C.B. Strike,"January 1, 2020",2018,TV-MA,1,"Crime, Drama, Mystery",Hulu
TV Show,Damages,"January 1, 2020",2007,TV-MA,5,"Crime, Drama",Hulu
TV Show,Hunting JonBenét's Killer: The Untold Story,"January 1, 2020",2019,TV-14,1,"Crime, Documentaries, News",Hulu
TV Show,Rellik,"January 1, 2020",2018,TV-MA,1,"Crime, Drama, Mystery",Hulu
TV Show,Rescue Me,"January 1, 2020",2004,TV-MA,7,"Action, Comedy, Drama",Hulu
TV Show,The Curse of Oak Island,"January 1, 2020",2014,TV-PG,6,"Documentaries, History, Reality",Hulu
TV Show,The Zen Diaries of Garry Shandling,"January 1, 2020",2018,TV-MA,1,Documentaries,Hulu
TV Show,Andy & the Donald,"December 30, 2019",2019,TV-MA,1,"Comedy, News",Hulu
TV Show,Preacher,"December 29, 2019",2016,TV-MA,4,"Action, Adventure, Drama",Hulu
TV Show,CFB150,"December 28, 2019",2019,TV-G,5,Documentaries,Hulu
TV Show,Littlekenny,"December 27, 2019",2019,TV-MA,1,Comedy,Hulu
TV Show,Black Jesus,"December 24, 2019",2014,TV-MA,3,"Black Stories, Comedy",Hulu
TV Show,Pokémon the Series: XY,"December 22, 2019",2017,TV-Y7,1,"Action, Adventure, Anime",Hulu
TV Show,Pokémon the Series: XY Kalos Quest,"December 22, 2019",2017,TV-Y7,1,"Action, Adventure, Anime",Hulu
TV Show,Pokémon the Series: XYZ,"December 22, 2019",2015,TV-Y7,1,"Action, Adventure, Anime",Hulu
TV Show,A Christmas Carol (2019),"December 20, 2019",2019,TV-MA,1,Drama,Hulu
TV Show,My Little Pony: Friendship Is Magic,"December 20, 2019",2010,TV-Y,1,"Family, Kids",Hulu
TV Show,Marvel's Runaways,"December 13, 2019",2017,TV-14,3,"Action, Adventure, Drama",Hulu
TV Show,Catherine the Great,"December 10, 2019",2019,TV-MA,1,"Drama, History",Hulu
TV Show,Reprisal,"December 6, 2019",2019,TV-MA,1,"Action, Drama",Hulu
TV Show,Politicking With Larry King,"December 4, 2019",2013,TV-14,1,News,Hulu
TV Show,Making It,"December 3, 2019",2018,TV-PG,1,"Lifestyle & Culture, Reality",Hulu
TV Show,GINTAMA,"December 1, 2019",2006,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,The Only Way Is Essex,"December 1, 2019",2010,TV-MA,25,"International, Reality, Romance",Hulu
TV Show,Apple Tree Yard,"November 30, 2019",2017,TV-MA,1,"Drama, Horror, Thriller",Hulu
TV Show,Holly Hobbie,"November 22, 2019",2018,TV-PG,2,"Family, Kids",Hulu
TV Show,The Accident,"November 22, 2019",2019,TV-MA,1,"Crime, Drama",Hulu
TV Show,BuzzFeed Unsolved: Supernatural,"November 15, 2019",2016,TV-MA,6,"Comedy, Horror",Hulu
TV Show,Dollface,"November 15, 2019",2019,TV-MA,1,Comedy,Hulu
TV Show,Case file n°221 : Kabukicho,"November 10, 2019",2019,TV-14,1,"Anime, International",Hulu
TV Show,Stars Align,"November 9, 2019",2019,TV-14,1,"Anime, Drama",Hulu
TV Show,You're the Worst,"November 9, 2019",2014,TV-MA,5,"Comedy, Sitcom",Hulu
TV Show,Phantasy Star Online 2: Episode Oracle,"November 6, 2019",2019,TV-14,1,"Anime, Science Fiction",Hulu
TV Show,Stand My Heroes: Piece of Truth,"November 6, 2019",2019,TV-14,1,Anime,Hulu
TV Show,BBQuest,"November 5, 2019",2018,TV-G,2,"Cooking & Food, Lifestyle & Culture",Hulu
TV Show,Special 7: Special Crime Investigation Unit,"November 5, 2019",2019,TV-14,1,"Anime, Crime",Hulu
TV Show,Kono Oto Tomare!: Sounds of Life,"November 4, 2019",2019,TV-14,2,"Anime, Drama",Hulu
TV Show,AZUR LANE,"November 2, 2019",2019,TV-14,1,Anime,Hulu
TV Show,After School Dice Club,"November 1, 2019",2019,TV-PG,1,"Anime, Drama, International",Hulu
TV Show,Cautious Hero: The Hero Is Overpowered But Overly Cautious,"November 1, 2019",2019,TV-14,1,"Anime, International",Hulu
TV Show,Investigations by Vice,"November 1, 2019",2019,TV-MA,1,"Documentaries, News",Hulu
TV Show,Kemono Michi: Rise Up,"November 1, 2019",2019,TV-14,1,"Action, Adventure, Anime",Hulu
TV Show,Kids Baking Championship,"November 1, 2019",2015,TV-G,4,"Cooking & Food, Family, Lifestyle & Culture",Hulu
TV Show,Ultimate Survival WWII,"October 28, 2019",2019,TV-14,1,"Documentaries, History",Hulu
TV Show,Raw. Vegan. Not Gross.,"October 25, 2019",2018,TV-G,1,"Cooking & Food, Lifestyle & Culture",Hulu
TV Show,Unsolved Mysteries,"October 24, 2019",1988,TV-14,4,"Documentaries, Drama, Mystery",Hulu
TV Show,Castle Rock,"October 23, 2019",2018,TV-MA,2,"Drama, Horror",Hulu
